EP, 07, 2014072012, 01, CARQ,   0,  91N, 1082W,  20, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   E,   0,   X, 280,  12,     INVEST, S, 
EP, 07, 2014072012, 01, CARQ,   0,  91N, 1082W,  20, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   E,   0,   X, 280,  12,     INVEST, S, 
EP, 07, 2014072012, 01, CARQ,   0,  91N, 1082W,  20, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   E,   0,   X, 280,  12,     INVEST, S, 
EP, 07, 2014072018, 01, CARQ,   0,  97N, 1095W,  25, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   E,   0,   X, 285,  14,     INVEST, S, 
EP, 07, 2014072018, 01, CARQ,   0,  97N, 1095W,  25, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   E,   0,   X, 285,  14,     INVEST, S, 
EP, 07, 2014072018, 01, CARQ,   0,  97N, 1095W,  25, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   E,   0,   X, 285,  14,     INVEST, S, 
EP, 07, 2014072100, 01, CARQ,   0,  95N, 1107W,  25, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   E,   0,   X, 280,  13,     INVEST, S, 
EP, 07, 2014072100, 01, CARQ,   0,  95N, 1107W,  25, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   E,   0,   X, 280,  13,     INVEST, S, 
EP, 07, 2014072100, 01, CARQ,   0,  95N, 1107W,  25, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   E,   0,   X, 280,  13,     INVEST, S, 
EP, 07, 2014072112, 01, CARQ,   0,  90N, 1136W,  25, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   E,   0,   X, 270,  13,     INVEST, S, 
EP, 07, 2014072112, 01, CARQ,   0,  90N, 1136W,  25, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   E,   0,   X, 270,  13,     INVEST, S, 
